Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
2666,7,8,8,7,9,2,2,3,2,2,6
2676,10,10,10,8,1,2,2,2,2,2,3
2683,8,8,9,6,9,3,1,2,2,2,6
2684,8,8,8,8,7,2,2,2,2,1,5
2684,8,8,7,9,7,2,2,4,1,1,9
2688,3,8,10,10,10,5,2,5,3,2,4
2688,8,9,9,3,8,3,2,5,1,1,6
2706,9,9,10,9,4,1,2,2,1,1,11
2711,8,7,7,6,6,2,1,2,1,1,3
2711,10,8,9,9,10,1,1,4,3,2,8
2715,8,8,10,10,10,1,2,4,3,3,9
2718,9,9,9,9,8,1,1,4,2,2,8
2720,7,7,7,8,9,2,2,6,3,4,6
2734,4,4,4,4,8,4,2,4,1,1,10
2734,7,5,8,6,7,3,2,5,1,2,8
2770,5,5,5,4,7,3,2,4,2,2,5
2776,7,8,10,8,10,3,1,6,1,4,5
2776,10,10,10,10,10,1,2,5,3,1,10
2779,7,5,7,8,7,1,1,4,1,1,8
2784,10,10,6,8,5,4,2,4,1,4,1
2788,8,9,8,7,8,2,1,5,1,3,6
2792,8,8,9,7,4,1,1,5,1,3,8
2793,8,7,9,8,10,2,2,5,3,2,5
2796,10,10,9,10,8,2,1,6,1,4,1
2796,7,7,7,6,6,2,2,5,1,4,4
2797,8,9,8,7,10,1,1,2,1,4,11
2808,9,9,9,7,10,1,1,2,1,1,5
2810,8,8,10,7,6,2,2,4,1,4,2
2819,8,8,8,9,9,1,1,3,3,1,4
2821,9,7,8,6,5,3,2,5,3,4,7
2821,8,9,9,10,10,2,1,5,2,2,2
2824,1,1,1,1,0,5,1,4,2,4,11
2842,10,10,10,10,10,2,1,6,3,2,9
2842,7,9,6,8,8,2,2,3,1,1,11
2844,6,7,4,8,10,3,1,2,2,4,9
2850,5,6,9,3,3,2,1,2,3,2,2
2850,9,9,9,10,8,2,1,5,2,3,6
2852,0,10,5,0,10,4,2,5,3,4,10
2861,8,8,7,8,5,2,1,2,1,3,11
2876,9,9,10,7,8,1,2,2,1,1,6
2884,5,4,2,4,6,4,1,6,3,4,1
2886,7,7,8,5,8,1,1,2,2,2,8
2900,6,6,6,2,10,3,2,3,1,4,1
2902,9,9,9,8,8,1,1,3,1,1,8
2909,9,10,7,5,10,3,2,4,3,3,4
2909,5,7,2,4,5,1,1,3,3,2,11
2933,5,7,8,8,7,3,2,4,1,2,8
2934,8,7,8,7,9,2,1,6,1,1,8
2940,5,7,7,5,10,1,2,5,3,2,4
2942,6,8,6,7,4,2,2,2,2,2,6
2943,7,7,8,6,6,1,2,6,3,4,8
2950,7,9,10,8,8,2,1,2,1,2,7
2955,9,9,10,7,10,2,2,5,3,2,9
2965,8,8,8,8,8,1,2,2,1,1,11
2966,5,5,5,0,7,2,2,3,3,4,7
2971,9,9,9,7,7,2,2,4,3,1,9
2982,9,10,9,5,8,2,2,5,3,1,11
2986,7,7,7,8,7,2,1,4,2,1,3
2991,10,5,9,9,8,1,2,6,3,2,2
2997,8,8,7,6,9,1,2,2,1,1,9
3011,7,6,9,6,7,2,1,1,2,1,7
3011,8,9,9,9,8,1,1,5,1,2,9
3031,8,9,10,10,8,1,1,2,2,1,2
3044,7,8,7,8,7,2,2,5,1,1,5
3048,7,8,8,8,8,3,1,6,3,4,7
3057,10,10,10,10,9,1,1,5,1,1,11
3075,9,9,9,8,10,2,2,6,3,4,2
3090,5,4,4,7,8,3,2,2,1,1,9
3091,8,8,8,10,8,1,2,5,2,1,11
3098,10,9,10,9,10,1,2,3,1,3,2
3107,10,10,10,9,7,1,2,2,1,1,3
3111,7,6,6,8,10,1,2,2,2,2,2
3114,9,10,7,10,9,1,2,2,1,1,10
3114,6,8,9,7,6,1,1,1,2,4,5
3117,5,3,4,7,5,3,1,3,2,3,4
